Topic1,Topic2,Edge Weight
Avril Lavigne,Music,1
Music,Taylor Swift,1
Avril Lavigne,Taylor Swift,1
Movies,Racial Injustice,2
Movies,Social Issues,3
Hockey,NHL,13
Alabama,Missouri,1
Football,Oklahoma,1
Florida,Football,4
Football,Miami,1
Football,In Memoriam,1
Florida,Miami,2
Florida,In Memoriam,1
In Memoriam,Miami,1
Brazil,Movies,1
Megan Thee Stallion,Music,1
Sports Figures,Tom Brady,2
China,Movies,3
Asian,China,1
California,Movies,1
Los Angeles,Movies,1
Coronavirus,Movies,4
California,Los Angeles,2
California,Coronavirus,1
Coronavirus,Los Angeles,1
Movies,United Kingdom,1
TV,Young Sheldon,1
Movies,North America,1
Asia,China,1
Asia,North America,1
China,North America,1
Movies,Tyler Perry,1
Coronavirus,Tyler Perry,1
Cardi B,Twitter,1
Basketball,Los Angeles Clippers,1
Los Angeles Clippers,NBA,1
Business Leaders,In Memoriam,1
Business Leaders,Samsung,1
In Memoriam,Samsung,1
Drake,Music,2
Football,Kentucky,1
Kentucky,Ohio,1
Disney,TV,3
Latino,TV,1
Disney,Latino,1
Coronavirus,TV,1
TV,The Masked Singer,2
Amazon,Brexit,1
Amazon,World Politics,1
Amazon,United Kingdom,1
Brexit,World Politics,16
Brexit,United Kingdom,2
United Kingdom,World Politics,2
TV,Trump,1
Asia,Coronavirus,2
Holidays,Thanksgiving,5
Coronavirus,Spain,1
Holidays,Music,1
Music,Thanksgiving,1
Elvis Presley,Holidays,1
Elvis Presley,Thanksgiving,1
Coronavirus,Holidays,2
Coronavirus,Thanksgiving,1
Fortnite,Gaming,3
Fortnite,TV,1
Gaming,TV,1
Miley Cyrus,TikTok,1
Android,Google,1
Brexit,European Union,2
European Union,World Politics,2
Coronavirus,New York,6
Football,Louisiana State University,2
Academia,Louisiana State University,2
Coronavirus,Moderna,1
Moderna,New York,1
Arizona,Football,1
Christmas,Patrick Mahomes,1
Christmas,Sports Figures,1
Holidays,Patrick Mahomes,1
Holidays,Sports Figures,1
Patrick Mahomes,Sports Figures,1
Football,Johnny Manziel,1
Football,Sports Figures,10
Johnny Manziel,Sports Figures,1
Coronavirus,NFL,2
Buffalo Bills,Football,4
Buffalo Bills,NFL,4
Holidays,NYE,3
Holidays,Instagram,2
Instagram,NYE,2
Music,Paul McCartney,1
Music,The Beatles,1
Paul McCartney,The Beatles,1
Coronavirus,United Kingdom,2
Ivanka Trump,Trump,1
NASA,Volcanoes,1
Space,Volcanoes,1
Instagram,The Masked Singer,1
Instagram,TV,1
Coronavirus,Media,1
Coronavirus,GOP,1
GOP,New York,1
College Sports,Football,4
College Sports,Pennsylvania State University,1
College Sports,Oregon State University,1
Oregon State University,Pennsylvania State University,1
Football,Super Bowl,7
AstraZeneca,Coronavirus,2
Basketball,Michigan,2
Buffalo Sabres,Hockey,1
Buffalo Sabres,NHL,1
Buffalo Sabres,Coronavirus,1
Coronavirus,Hockey,1
Coronavirus,NHL,1
Coronavirus,Cruise Lines,1
Aaron Rodgers,Football,2
Football,Green Bay Packers,3
Football,Shailene Woodley,1
Aaron Rodgers,Sports Figures,2
Aaron Rodgers,Green Bay Packers,1
Aaron Rodgers,NFL,1
Aaron Rodgers,Shailene Woodley,1
Green Bay Packers,Sports Figures,1
NFL,Sports Figures,5
Shailene Woodley,Sports Figures,1
Green Bay Packers,NFL,3
Green Bay Packers,Shailene Woodley,1
NFL,Shailene Woodley,1
Basketball,Minnesota,1
Football,USC,1
Academia,USC,1
Academia,NFL,1
NFL,USC,1
Cristiano Ronaldo,Sports Figures,5
Coronavirus,Wyoming,1
Motorsports,NASCAR,1
Cincinnati,Cincinnati Bengals,1
Cincinnati,Football,1
Cincinnati,NFL,1
Cincinnati,Nutrition,1
Cincinnati Bengals,Football,2
Cincinnati Bengals,NFL,2
Cincinnati Bengals,Nutrition,1
Football,Nutrition,1
NFL,Nutrition,1
Basketball,Maryland,1
Basketball,Pennsylvania State University,2
Maryland,Pennsylvania State University,1
Basketball,Big Ten,1
Movies,NFL,1
NFL,Reviews,1
Alex Rodriguez,Jennifer Lopez,1
American Idol,TV,1
AstraZeneca,India,1
Coronavirus,India,2
Basketball,College Sports,2
Arkansas,Basketball,1
Basketball,Texas,1
Arkansas,Texas,2
European Union,United Kingdom,2
Coronavirus,European Union,1
Massachusetts,Supreme Court,1
Boston Marathon,Massachusetts,1
Boston Marathon,Supreme Court,1
Prince William,Royal Family,2
Prince William,Russia,1
Prince William,Vladimir Putin,1
Prince William,Stanley Tucci,1
Royal Family,Russia,1
Royal Family,Vladimir Putin,1
Royal Family,Stanley Tucci,1
Russia,Vladimir Putin,4
Russia,Stanley Tucci,1
Stanley Tucci,Vladimir Putin,1
Olympics,Pennsylvania State University,1
Electric Vehicles,Green Energy,2
Green Energy,Mercedes-Benz,1
Electric Vehicles,Mercedes-Benz,1
Boris Johnson,Portugal,1
Boris Johnson,Traffic,1
Portugal,United Kingdom,1
Traffic,United Kingdom,1
Portugal,Traffic,1
CDC,Illinois,1
Coronavirus,Illinois,1
Basketball,Oklahoma,1
Basketball,Charlotte,1
Basketball,North Carolina,1
Charlotte,North Carolina,1
Coronavirus,Pfizer,1
Coronavirus,Walgreens,1
Pfizer,Walgreens,1
South Carolina,Tornadoes,1
Airlines,Boeing,1
Aviation,Boeing,1
Football,Prince William,1
Football,Royal Family,1
European Football,Football,7
Chicago,Football,2
Football,Illinois,1
Chicago Bears,Football,3
Chicago,Illinois,4
Chicago,Chicago Bears,2
Chicago,NFL,2
Chicago Bears,Illinois,1
Illinois,NFL,1
Chicago Bears,NFL,3
Florida,Jacksonville,2
Florida,NFL,2
Florida,Jacksonville Jaguars,1
Florida,Ohio,1
Football,Jacksonville,1
Jacksonville,NFL,1
Jacksonville,Jacksonville Jaguars,1
Jacksonville,Ohio,1
Football,Jacksonville Jaguars,1
Jacksonville Jaguars,NFL,1
Jacksonville Jaguars,Ohio,1
Basketball,Vietnam,1
Basketball,Vietnam War,1
Vietnam,Vietnam War,1
Pennsylvania,Supreme Court,1
Piers Morgan,TV,1
Cannabis,Social Issues,11
Crime,Nutrition,1
Illinois,Supreme Court,1
Coronavirus,Social Issues,2
Israel,Lindsey Graham,1
Crime,Football,1
Altcoins,Cryptocurrency,2
Altcoins,Ethereum,2
Altcoins,Blockchain,1
Cryptocurrency,Ethereum,2
Blockchain,Cryptocurrency,2
Blockchain,Ethereum,1
Cobra Kai,TV,1
Olympics,Tokyo,2
Racial Injustice,Supreme Court,1
Social Issues,Supreme Court,3
5G,Coronavirus,1
Gene Simmons,Music,1
Documentaries,Music,1
Cristiano Ronaldo,Germany,1
Cristiano Ronaldo,Portugal,1
Germany,Sports Figures,1
Portugal,Sports Figures,1
Germany,Portugal,1
NCIS,TV,1
Activism,Theater,1
Pennsylvania State University,Soccer,1
Golden Girls,TV,1
Bruce Springsteen,Obama,1
Bruce Springsteen,Podcasts,1
Obama,Podcasts,1
Earthquakes,Volcanoes,1
Coronavirus,Ohio,1
Barcelona,Spain,2
Adele,Lebron James,1
Adele,Sports Figures,1
Lewis Hamilton,Sports Figures,1
Lewis Hamilton,Max Verstappen,1
Max Verstappen,Sports Figures,1
Coronavirus,Football,2
Food & Drink,Princess Diana,1
Food & Drink,Royal Family,1
Princess Diana,Royal Family,1
Airlines,Business Leaders,1
Aviation,Business Leaders,1
Markets,Real Estate,2
Africa,Coronavirus,3
Africa,Ebola,1
Coronavirus,Ebola,1
Caribbean Islands,Haiti,2
Caribbean Islands,Jewish,1
Caribbean Islands,Podcasts,1
Haiti,Jewish,1
Haiti,Podcasts,1
Jewish,Podcasts,1
Afghanistan,Joe Biden,1
App Store,Apple,1
Markets,NASDAQ,6
Coronavirus,FDA,1
Altcoins,Markets,1
Cryptocurrency,Markets,4
Ethereum,Markets,1
Business Leaders,Coronavirus,1
Business Leaders,Joe Biden,1
Coronavirus,Joe Biden,4
2021 Elections,Immigration,1
2021 Elections,Social Issues,1
Immigration,Social Issues,2
Brooks Koepka,Golf,1
Brooks Koepka,Sports Figures,1
Golf,Sports Figures,3
Africa,CDC,1
Netflix,Stranger Things,3
Stranger Things,TV,3
Abortion,Social Issues,5
Abortion,Texas,2
Social Issues,Texas,2
Fashion,Style,4
Fashion,The Simpsons,1
Fashion,TV,1
Style,The Simpsons,1
Style,TV,1
TV,The Simpsons,1
Barbara Corcoran,Whoopi Goldberg,1
Fantasy Sports,Football,1
Abortion,Wisconsin,1
Social Issues,Wisconsin,1
Station 19,TV,1
Joe Biden,UN Climate Change Conference,1
Football,Las Vegas Raiders,2
Football,Oakland,1
Las Vegas Raiders,NFL,2
Las Vegas Raiders,Oakland,1
NFL,Oakland,1
Basketball,New York Knicks,1
NBA,New York Knicks,1
Colin Kaepernick,NBA,1
Joe Biden,Pete Buttigieg,1
Dallas,Texas,2
Astroworld Festival,Dallas,1
Astroworld Festival,Texas,1
Basketball,Chicago Bulls,1
Basketball,Chicago,1
Basketball,Illinois,1
Basketball,Scottie Pippen,1
Chicago Bulls,NBA,1
Chicago,Chicago Bulls,1
Chicago Bulls,Illinois,1
Chicago Bulls,Scottie Pippen,1
Chicago Bulls,Sports Figures,1
Chicago,NBA,1
Illinois,NBA,1
NBA,Scottie Pippen,1
Chicago,Scottie Pippen,1
Chicago,Sports Figures,1
Illinois,Scottie Pippen,1
Illinois,Sports Figures,1
Scottie Pippen,Sports Figures,1
Beijing,Joe Biden,1
Beijing,Olympics,1
Joe Biden,Olympics,1
GOP,Trump,1
Serena Williams,Sports Figures,1
Serena Williams,Tennis,1
Peng Shuai,Serena Williams,1
Sports Figures,Tennis,6
Peng Shuai,Sports Figures,1
Peng Shuai,Tennis,1
Memphis,Tennessee,1
Memphis,Young Dolph,1
Tennessee,Young Dolph,1
Facebook,Google,1
Australia,La Niña,1
Golf,Tiger Woods,1
Sports Figures,Tiger Woods,2
Abortion,Supreme Court,2
Baseball,MLB,18
Chicago,Green Bay Packers,1
Chicago Bears,Green Bay Packers,1
Kentucky,Tornadoes,1
Football,United Kingdom,3
Crime,Terrorism,5
Cleveland Cavaliers,NBA,1
Basketball,Cleveland Cavaliers,1
Australia,Sports Figures,1
Australian Open,Sports Figures,1
Australia,Australian Open,2
Australia,Tennis,2
Australian Open,Tennis,2
Climate Change,ESG,1
2024 Elections,GOP,1
GOP,Voters,1
2024 Elections,Voters,1
AI,Gaming,1
Holidays,Ramadan,1
Holidays,The Oscars,1
Ramadan,The Oscars,1
WWE,Wrestling,4
Crime,Traffic,1
Basketball,March Madness,1
Crime,Murder,38
AI,GOP,1
Cryptocurrency,SEC,1
Crime,Scam,1
Economy,Oil & Gas,1
Theft,Trafficking (Stolen Goods),1
Business Leaders,Markets,1
Formula 1,Motorsports,8
Music,Russia-Ukraine War,1
AI,Books,1
Extortion,Organized Crime,1
Extortion,Kidnapping,1
Kidnapping,Organized Crime,1
Baseball,Los Angeles Dodgers,4
Los Angeles Dodgers,MLB,4
Los Angeles Dodgers,Sports Figures,2
Baseball,Sports Figures,3
MLB,Sports Figures,2
Softball,Venture Capital,1
Softball,Startups,1
Startups,Venture Capital,1
Sports Figures,UFC,2
Boxing,Sports Figures,2
Boxing,UFC,2
Corruption,Tax Fraud,1
Fraud,Tax Fraud,1
Money Laundering,Tax Fraud,1
Crime,Tax Fraud,1
Organized Crime,Tax Fraud,1
Corruption,Fraud,3
Corruption,Money Laundering,1
Corruption,Crime,1
Corruption,Organized Crime,1
Fraud,Money Laundering,1
Crime,Fraud,1
Fraud,Organized Crime,1
Crime,Money Laundering,1
Money Laundering,Organized Crime,1
Crime,Organized Crime,2
AHL,Edmonton Oilers,3
Edmonton Oilers,Hockey,3
Edmonton Oilers,Florida Panthers,2
Edmonton Oilers,NHL,3
AHL,Hockey,3
AHL,Florida Panthers,2
AHL,NHL,3
Florida Panthers,Hockey,2
Florida Panthers,NHL,2
Russia-Ukraine War,World Politics,1
Brexit,Russia-Ukraine War,1
Basketball,Boston Celtics,1
Boston Celtics,NBA,1
Crime,Olympics,2
Crime,Lawsuits,1
Tennis,Wimbledon,1
Baseball,Houston Astros,5
Houston Astros,MLB,5
Baseball,Milwaukee Brewers,3
Sports Figures,WWE,1
RNC,WWE,1
WWE,WrestleMania,1
Sports Figures,Wrestling,1
RNC,Wrestling,1
WrestleMania,Wrestling,1
RNC,Sports Figures,1
Sports Figures,WrestleMania,1
RNC,WrestleMania,1
Gaming,Xbox,1
Basketball,Sacramento Kings,1
NBA,Sacramento Kings,1
Sacramento Kings,Sports Figures,1
Elephants,Wildlife,3
ESG,Economy,1
DNC,Football,1
Federal Reserve,Markets,2
Federal Reserve,Inflation,1
Inflation,Markets,2
Gaming,PS4,1
Books,Fraud,1
Books,Corruption,1
Gaming,Nintendo,1
Soccer,World Cup,2
2024 Elections,Environment-ESG,1
2024 Elections,Real Estate,1
Environment-ESG,Real Estate,1
MLB,World Series,4
Los Angeles Dodgers,World Series,1
Sports Figures,World Series,1
Baseball,World Series,4
Bollywood,Movies,2
Academia,College Sports,3
Movies,Spider-man,1
Homelessness,Social Issues,1
Africa,Sports Figures,1
Africa,Cricket,1
Australia,World Cup,1
Crime,Violence,2
Governance-ESG,Social-ESG,1
Australia,Cricket,1
FIFA World Cup,Soccer,1
FIFA World Cup,World Cup,6
LGBTQ,Social Issues,4
Russia-Ukraine War,Social Issues,1
LGBTQ,Russia-Ukraine War,1
ESG,Environment-ESG,1
Markets,Stocks,1
Electronics,iPhone,2
North Carolina,Supreme Court,1
Coronavirus,Recep Tayyip Erdoğan,1
China,Olympics,1
Joe Biden,Ukraine,3
GOP,Iowa,1
Iowa,Joe Biden,1
DNC,Joe Biden,1
Crime,Documentaries,1
DNC,Iowa,1
DNC,Michigan,1
Iowa,Michigan,1
Joe Biden,Michigan,1
Michigan,Ukraine,1
Joe Biden,Russia,3
Joe Biden,Vladimir Putin,2
Supreme Court,Wisconsin,1
Grammy Awards,Nigeria,1
Coronavirus,Donald Trump,1
Donald Trump,Omicron,1
Donald Trump,Russia-Ukraine War,1
Coronavirus,Omicron,1
Coronavirus,Russia-Ukraine War,1
Omicron,Russia-Ukraine War,1
Oklahoma,Texas,1
Oklahoma,Tornadoes,1
Texas,Tornadoes,1
Academia,Baseball,1
Markets,NYSE,8
Virginia,West Virginia,1
Arkansas,Coronavirus,1
Arkansas,Holidays,1
Climate Change,Texas,1
Kentucky,Louisville,1
Coronavirus,Soccer,1
Hurricanes,Olympics,1
Hurricanes,Texas,1
Olympics,Texas,1
Gaming,Twitch,1
Gaming,Markets,1
Markets,Twitch,1
Cristiano Ronaldo,Football,2
GOP,New Jersey,1
Joe Biden,Saudi Arabia,1
Joe Biden,Social Issues,1
Saudi Arabia,Social Issues,1
Business Leaders,Netflix,1
Business Leaders,Stranger Things,1
Business Leaders,TV,1
Academia,Russia,1
Academia,Vladimir Putin,1
Academia,Russia-Ukraine War,1
Russia,Russia-Ukraine War,8
Russia-Ukraine War,Vladimir Putin,2
Airlines,France,1
NHL,Vegas Golden Knights,1
Joe Biden,Markets,1
Keir Starmer,Piers Morgan,1
Keir Starmer,Russia,1
Keir Starmer,Russia-Ukraine War,1
Piers Morgan,Russia,1
Piers Morgan,Russia-Ukraine War,1
Eminem,Taylor Swift,1
Eminem,Tupac,1
Taylor Swift,Tupac,1
Business Leaders,Lawsuits,1
Business Leaders,Tesla,3
Elon Musk,Lawsuits,1
Elon Musk,Tesla,3
Lawsuits,Tesla,1
Lawsuits,Twitter,1
Tesla,Twitter,2
Boxing,Conor McGregor,1
Conor McGregor,Sports Figures,1
Conor McGregor,UFC,1
Dow Jones,Markets,1
Earthquakes,Philippines,1
Donald Trump,Joe Biden,4
Disney,Disney+,1
Disney,Disney  ,1
Disney+,TV,1
Disney  ,Disney+,1
Disney  ,TV,1
Airlines,Lufthansa,1
Basketball,Soccer,1
Australia,Basketball,1
Basketball,Canada,1
Basketball,Olympics,1
Australia,Soccer,1
Canada,Soccer,1
Olympics,Soccer,1
Australia,Canada,1
Australia,Olympics,1
Canada,Olympics,1
Baseball,Chicago Cubs,1
Baseball,Chicago,1
Baseball,Illinois,1
Chicago Cubs,MLB,1
Chicago,Chicago Cubs,1
Chicago Cubs,Illinois,1
Chicago,MLB,1
Illinois,MLB,1
Brie Larson,David Harbour,1
Below Deck,TV,1
Football,San Francisco,2
Football,San Francisco 49ers,2
NFL,San Francisco,2
NFL,San Francisco 49ers,2
San Francisco,San Francisco 49ers,2
NFL,Tampa Bay Buccaneers,2
NFL,Tampa,1
NFL,Tom Brady,1
Football,Tampa Bay Buccaneers,2
Football,Tampa,1
Football,Tom Brady,1
Florida,Tampa Bay Buccaneers,1
Tampa,Tampa Bay Buccaneers,1
Sports Figures,Tampa Bay Buccaneers,2
Tampa Bay Buccaneers,Tom Brady,1
Florida,Tampa,1
Florida,Tom Brady,1
Sports Figures,Tampa,1
Tampa,Tom Brady,1
Florida,Hurricanes,2
Asian,France,1
Asian,Saudi Arabia,1
France,Saudi Arabia,1
China,India,1
China,Russia,1
China,Russia-Ukraine War,1
India,Russia,1
India,Russia-Ukraine War,1
Federal Reserve,Wells Fargo,1
Markets,Wells Fargo,1
Social Issues,Yemen,1
Nashville,Tennessee,1
Alabama,Tennessee,1
Meta,United Kingdom,1
Baseball,New York Yankees,4
Houston Astros,New York Yankees,3
Houston Astros,World Series,2
MLB,New York Yankees,4
New York Yankees,World Series,2
Food & Drink,James Corden,1
Golf,Uganda,1
Football,Qatar,2
Football,World Cup,5
Coronavirus,Qatar,1
Qatar,World Cup,3
Coronavirus,World Cup,1
Rafael Nadal,Tennis,1
Rafael Nadal,Sports Figures,1
India,Pakistan,1
India,Tweets,1
India,Twitter,1
Pakistan,Tweets,1
Pakistan,Twitter,1
Joe Biden,Russia-Ukraine War,4
Football,France,1
France,World Cup,1
Joe Biden,Taiwan,1
Taiwan,Ukraine,1
Russia-Ukraine War,Taiwan,1
Russia-Ukraine War,Ukraine,4
FIFA World Cup,Football,2
FIFA World Cup,Qatar,2
Basketball,Dallas Mavericks,1
Dallas Mavericks,NBA,1
Cristiano Ronaldo,World Cup,1
Sports Figures,World Cup,2
Apple,Hailey Bieber,1
Climate Change,Social Issues,2
Dallas,Space,1
Space,Texas,1
Europe,United Kingdom,3
Canada,Winnipeg,2
Canada,Hockey,3
Canada,NHL,3
Canada,Winnipeg Jets,1
Hockey,Winnipeg,1
NHL,Winnipeg,1
Winnipeg,Winnipeg Jets,1
Hockey,Winnipeg Jets,1
NHL,Winnipeg Jets,1
Movies,Princess Diaries,1
Climate Change,Coronavirus,1
Arizona,Pennsylvania,1
FIFA,Football,3
Football,Lionel Messi,1
European Football,FIFA,4
European Football,Lionel Messi,1
European Football,Sports Figures,3
European Football,World Cup,3
European Football,FIFA World Cup,2
FIFA,Lionel Messi,1
FIFA,Sports Figures,1
FIFA,World Cup,2
FIFA,FIFA World Cup,1
Lionel Messi,Sports Figures,2
Lionel Messi,World Cup,1
FIFA World Cup,Lionel Messi,1
FIFA World Cup,Sports Figures,1
English Premier League,European Football,2
English Premier League,World Cup,1
English Premier League,FIFA World Cup,1
Basketball,Philadelphia 76ers,1
NBA,Philadelphia 76ers,1
Congress,Missouri,1
Canada,Edmonton,2
Canada,Edmonton Oilers,1
AHL,Canada,1
Canada,Seattle,1
Canada,Washington,1
Edmonton,Edmonton Oilers,1
Edmonton,Hockey,2
Edmonton,NHL,2
AHL,Edmonton,1
Edmonton,Seattle,1
Edmonton,Washington,1
Edmonton Oilers,Seattle,1
Edmonton Oilers,Washington,1
Hockey,Seattle,1
Hockey,Washington,1
NHL,Seattle,1
NHL,Washington,1
AHL,Seattle,1
AHL,Washington,1
Seattle,Washington,1
Food & Drink,Recipes,1
Food & Drink,TikTok,1
Recipes,TikTok,1
Donald Trump,Tweets,1
Donald Trump,Twitter,2
Iranian,Protests,1
Iranian,Social Issues,1
GOP,Social Issues,1
GOP,Immigration,1
Prince Philip,Royal Family,1
Prince Philip,Queen Elizabeth,1
Queen Elizabeth,Royal Family,1
TV,The Real Housewives,1
Cryptocurrency,Tweets,1
Cryptocurrency,Twitter,1
Crime,Kidnapping,5
Movies,Robert Downey Jr,1
In Memoriam,Robert Downey Jr,1
BTS,Movies,1
Holidays,Theft,1
Crime,Holidays,2
Crime,Theft,3
NYE,Theft,1
Crime,NYE,1
Korean,Security Breach,1
Korean,Security,1
Russia-Ukraine War,Turkish,1
Russia-Ukraine War,Violence,1
Turkish,Violence,1
NFL,Super Bowl,3
Football,New England Patriots,1
New England Patriots,Super Bowl,1
NFL,New England Patriots,1
NFL,Philadelphia Eagles,1
Philadelphia Eagles,Super Bowl,1
Football,Philadelphia Eagles,1
India,Olympics,1
Drug Trafficking,Social Issues,2
Cannabis,Drug Trafficking,1
Cryptocurrency,IBM,2
Kidnapping,Sexual Exploitation,1
Human Trafficking,Sexual Exploitation,1
Crime,Sexual Exploitation,1
Bollywood,Sexual Exploitation,1
Human Trafficking,Kidnapping,1
Bollywood,Kidnapping,1
Crime,Human Trafficking,2
Bollywood,Human Trafficking,1
Bollywood,Crime,1
Fraud,Lawsuits,1
Corruption,Lawsuits,1
Fortnite,IBM,1
Gaming,IBM,1
IBM,Lenovo,1
Cisco,IBM,1
Fortnite,Lenovo,1
Cisco,Fortnite,1
Gaming,Lenovo,1
Cisco,Gaming,1
Cisco,Lenovo,1
European Football,UEFA,1
Football,UEFA,1
English Premier League,NBA,1
English Premier League,Sports Figures,1
